title,price,link
Orchard Greenz Farmhouse Society On Main Bedian Road Lahore For Sale,45 Lakh,https://www.zameen.com/Property/bedian_road_orchard_greenz_orchard_greenz_farmhouse_society_on_main_bedian_road_lahore_for_sale-47981502-20750-1.html
Good Location 5 Marla House For sale Available In GT Road,1.1 Crore,https://www.zameen.com/Property/gt_road_tayyaba_town_good_location_5_marla_house_for_sale_available_in_gt_road-48127520-14056-1.html
Brand New 5 Marla House For Sale Locate In Phase 2 Bahria Orchard Lahore,1.7 Crore,https://www.zameen.com/Property/bahria_orchard_bahria_orchard_phase_2_brand_new_5_marla_house_for_sale_locate_in_phase_2_bahria_orchard_lahore-46443849-8236-1.html
1 Kanal Two Year Used Original Pictures Spanish Design Bungalow For Sale Dha Phase 6,8.5 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_two_year_used_original_pictures_spanish_design_bungalow_for_sale_dha_phase_6-46363629-1448-1.html
Most Beautiful 1 Kanal Fully Furnished Brand New Modern Design House,7.95 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_6_most_beautiful_1_kanal_fully_furnished_brand_new_modern_design_house-47772793-1448-1.html
10 Marla House For Sale Prime Location LDA Avenue1 Lahore,2.75 Crore,https://www.zameen.com/Property/lahore_lda_avenue_10_marla_house_for_sale_prime_location_lda_avenue1_lahore-48055022-547-1.html
2 Kanal Brand New Ultra Modern Design Most Beautiful Full Basement Fully Furnished Swimming Pool Bungalow For Sale At Prime Location Of Dha Lahore,34 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_6_2_kanal_brand_new_ultra_modern_design_most_beautiful_full_basement_fully_furnished_swimming_pool_bungalow_for_sale_at_prime_location_of_dha_lahore-48029418-1448-1.html
Brand New Kanal Modern Design House For sale Original Picture Price,7.8 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_6_brand_new_kanal_modern_design_house_for_sale_original_picture_price-47745072-1448-1.html
3 Beds Brand New 5 Marla House For Sale Located In Bahria Orchard Lahore,1.3 Crore,https://www.zameen.com/Property/low_cost_sector_low_cost_-_block_e_3_beds_brand_new_5_marla_house_for_sale_located_in_bahria_orchard_lahore-47610594-8190-1.html
3 Beds Brand New 5 Marla House For Sale Located In Bahria Orchard Lahore,1.6 Crore,https://www.zameen.com/Property/lahore_bahria_orchard_3_beds_brand_new_5_marla_house_for_sale_located_in_bahria_orchard_lahore-46476464-1474-1.html
